Row,Column,Goal Row,Goal Column,Vertical Distance to Goal,Horizontal Distance to Goal,Direction,Sector Cost,Cost To Goal
3,2,3,0,0,2,2,16,4.0
3,1,3,0,0,1,2,0,1.0
3,0,3,0,0,0,2,0,0
2,0,3,0,1,0,1,0,3.0
2,0,3,0,1,0,2,0,2.0
2,0,3,0,1,0,3,0,1.0
3,0,3,0,0,0,3,0,0
5,1,2,4,3,3,1,22,22.0
5,1,2,4,3,3,4,22,21.0
5,2,2,4,3,2,4,22,18.0
5,3,2,4,3,1,4,21,13.0
5,3,2,4,3,1,1,21,10.0
4,3,2,4,2,1,1,21,8.0
4,3,2,4,2,1,4,21,7.0
4,4,2,4,2,0,4,21,5.0
4,4,2,4,2,0,1,21,4.0
3,4,2,4,1,0,1,0,1.0
2,4,2,4,0,0,1,0,0
5,1,3,4,2,3,1,18,20.0
5,1,3,4,2,3,4,18,19.0
5,2,3,4,2,2,4,18,16.0
5,3,3,4,2,1,4,21,9.0
5,4,3,4,2,0,4,21,6.0
5,4,3,4,2,0,1,21,4.0
4,4,3,4,1,0,1,0,1.0
3,4,3,4,0,0,1,0,0
5,5,5,1,0,4,1,10,9.0
5,5,5,1,0,4,2,10,8.0
5,4,5,1,0,3,2,10,5.0
5,3,5,1,0,2,2,10,4.0
5,2,5,1,0,1,2,0,1.0
5,1,5,1,0,0,2,0,0
3,2,5,3,2,1,1,15,11.0
3,2,5,3,2,1,4,15,10.0
3,3,5,3,2,0,4,15,6.0
3,3,5,3,2,0,3,15,4.0
4,3,5,3,1,0,3,0,1.0
5,3,5,3,0,0,3,0,0
2,4,2,3,0,1,1,0,2.0
2,4,2,3,0,1,2,0,1.0
2,3,2,3,0,0,2,0,0
4,1,1,0,3,1,1,11,17.0
3,1,1,0,2,1,1,11,14.0
2,1,1,0,1,1,1,0,9.0
1,1,1,0,0,1,1,0,4.0
1,1,1,0,0,1,2,0,1.0
1,0,1,0,0,0,2,0,0
2,3,1,5,1,2,1,13,6.0
2,3,1,5,1,2,4,13,5.0
2,4,1,5,1,1,4,0,3.0
2,5,1,5,1,0,4,0,2.0
2,5,1,5,1,0,1,0,1.0
1,5,1,5,0,0,1,0,0
0,1,2,2,2,1,1,12,14.0
0,1,2,2,2,1,2,12,13.0
0,1,2,2,2,1,3,12,12.0
1,1,2,2,1,1,3,0,9.0
1,1,2,2,1,1,4,0,7.0
1,2,2,2,1,0,4,0,3.0
1,2,2,2,1,0,3,0,1.0
2,2,2,2,0,0,3,0,0
3,0,0,3,3,3,1,18,18.0
3,0,0,3,3,3,4,18,17.0
3,1,0,3,3,2,4,18,14.0
3,2,0,3,3,1,4,15,11.0
3,2,0,3,3,1,1,15,9.0
2,2,0,3,2,1,1,15,8.0
2,2,0,3,2,1,4,15,7.0
2,3,0,3,2,0,4,15,5.0
2,3,0,3,2,0,1,15,4.0
1,3,0,3,1,0,1,0,1.0
0,3,0,3,0,0,1,0,0
0,1,4,3,4,2,1,9,26.0
0,1,4,3,4,2,2,9,25.0
0,1,4,3,4,2,3,9,24.0
1,1,4,3,3,2,3,9,21.0
2,1,4,3,2,2,3,9,12.0
3,1,4,3,1,2,3,14,9.0
4,1,4,3,0,2,3,14,6.0
4,1,4,3,0,2,4,14,4.0
4,2,4,3,0,1,4,0,1.0
4,3,4,3,0,0,4,0,0
1,2,0,5,1,3,1,17,18.0
0,2,0,5,0,3,1,17,13.0
0,2,0,5,0,3,4,17,10.0
0,3,0,5,0,2,4,17,9.0
0,4,0,5,0,1,4,0,1.0
0,5,0,5,0,0,4,0,0
0,3,4,3,4,0,1,16,13.0
0,3,4,3,4,0,2,16,12.0
0,3,4,3,4,0,3,16,11.0
1,3,4,3,3,0,3,16,8.0
2,3,4,3,2,0,3,16,4.0
3,3,4,3,1,0,3,0,1.0
4,3,4,3,0,0,3,0,0
0,0,0,4,0,4,1,9,11.0
